application_name,application_name_lower,tool_slug,tool_name,alias_source,category,free,website,supported_os
247ithelp.com (ConnectWise),247ithelp.com (connectwise),247ithelp.com_(connectwise),247ithelp.com (ConnectWise),Name,RMM,,https://www.247ithelp.com/,
Absolute (Computrace),absolute (computrace),absolute_(computrace),Absolute (Computrace),Name,RMM,,https://www.absolute.com/,
Access Remote PC,access remote pc,access_remote_pc,Access Remote PC,Name,RMM,true,https://www.remotedesktop.com/,Windows | Mac | Linux | Android | iOS
Acronis Cyber Protect (Remotix),acronis cyber protect (remotix),acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),Name,RMM,,https://www.acronis.com/en/products/cyber-protect-connect/,Windows
Action1,action1,action1,Action1,Name,RMM,Yes,https://www.action1.com/,Windows
action1_agent,action1_agent,action1,Action1,PEMetadata.OriginalFileName,RMM,Yes,https://www.action1.com/,Windows
Addigy,addigy,addigy,Addigy,Name,RMM,,https://addigy.com/,
Adobe Connect,adobe connect,adobe_connect,Adobe Connect,Name,RAT,,https://www.adobe.com/products/adobeconnect.html,
AeroAdmin,aeroadmin,aeroadmin,AeroAdmin,Name,RMM,,http://aeroadmin.com/,
AliWangWang-remote-control,aliwangwang-remote-control,aliwangwang-remote-control,AliWangWang-remote-control,Name,RMM,,https://wangwang.taobao.com/,
Alpemix,alpemix,alpemix,Alpemix,Name,RMM,,https://www.alpemix.com/en/Home,Windows | Linux | Android | Mac | IOS
Ammyy Admin,ammyy admin,ammyyadmin,Ammyy Admin,Name,RMM,Yes/1 active session at a time,https://www.ammyy.com,Windows
Any Support,any support,any_support,Any Support,Name,RMM,,https://anysupport.net/,Windows
AnyDesk,anydesk,anydesk,AnyDesk,Name,RMM,true,https://anydesk.com/en,Android | ChromeOS | IOS | Linux | Mac | Windows
Anyplace Control,anyplace control,anyplace_control,Anyplace Control,Name,RMM,,http://www.anyplace-control.com/,Windows
AnyViewer,anyviewer,anyviewer,AnyViewer,Name,RMM,up to 10 devices,https://www.anyviewer.com/,Windows
AnyViewer Core,anyviewer core,anyviewer,AnyViewer,PEMetadata.Description,RMM,up to 10 devices,https://www.anyviewer.com/,Windows
Apple Remote Desktop,apple remote desktop,apple_remote_desktop,Apple Remote Desktop,Name,RAT,,https://www.apple.com/remotedesktop/,
Aspia,aspia,aspia,Aspia,Name,RMM,,https://aspia.org/,Windows | MacOS | Linux
Aspia Client,aspia client,aspia,Aspia,PEMetadata.Description,RMM,,https://aspia.org/,Windows | MacOS | Linux
aspia_client,aspia_client,aspia,Aspia,PEMetadata.OriginalFileName,RMM,,https://aspia.org/,Windows | MacOS | Linux
Atera,atera,atera,Atera,Name,RMM,30 day trial,https://www.atera.com/,Windows | MacOS | Linux
AteraAgent,ateraagent,atera,Atera,PEMetadata.Description,RMM,30 day trial,https://www.atera.com/,Windows | MacOS | Linux
Auvik,auvik,auvik,Auvik,Name,RMM,,https://www.auvik.com/,
AweRay,aweray,aweray,AweRay,Name,RMM,,https://awesun.aweray.com/en,
baramundi Management Agent,baramundi management agent,baramundi,baramundi Management Suite,PEMetadata.Description,RMM,false,https://www.baramundi.com/en-us/,Windows | Linux | Mac | Android | IOS
baramundi Management Suite,baramundi management suite,baramundi,baramundi Management Suite,Name,RMM,false,https://www.baramundi.com/en-us/,Windows | Linux | Mac | Android | IOS
Barracuda,barracuda,barracuda,Barracuda,Name,RMM,,https://www.barracuda.com/products/msp/network-protection/rmm,
Basecamp,basecamp,basecamp,Basecamp,Name,RAT,,https://basecamp.com/,
BeamYourScreen,beamyourscreen,beamyourscreen,BeamYourScreen,Name,RMM,,https://web.archive.org/web/20210304100510/https://www.beamyourscreen.com/,
BeAnyWhere,beanywhere,beanywhere,BeAnyWhere,Name,RMM,,https://www.n-able.com/products/take-control,
BeInSync,beinsync,beinsync,BeInSync,Name,RAT,,,
BeyondTrust,beyondtrust,beyondtrust,BeyondTrust,Name,RMM,,,
BeyondTrust (Bomgar),beyondtrust (bomgar),beyondtrust_(bomgar),BeyondTrust (Bomgar),Name,RMM,,https://www.beyondtrust.com/products/remote-support,
Bitvise SSH Client,bitvise ssh client,bitvise_ssh_client,Bitvise SSH Client,Name,RAT,,https://bitvise.com/ssh-client,
Bitvise SSH Server,bitvise ssh server,bitvise_ssh_server,Bitvise SSH Server,Name,RAT,,https://bitvise.com/ssh-server,
Bluetrait,bluetrait,bluetrait,Bluetrait,Name,RAT,true,https://bluetrait.io/,Windows | Linux | macOS
Bluetrait MSP Agent,bluetrait msp agent,bluetrait,Bluetrait,PEMetadata.Description,RAT,true,https://bluetrait.io/,Windows | Linux | macOS
bma,bma,baramundi,baramundi Management Suite,PEMetadata.OriginalFileName,RMM,false,https://www.baramundi.com/en-us/,Windows | Linux | Mac | Android | IOS
CentraStage (Now Datto),centrastage (now datto),centrastage_(now_datto),CentraStage (Now Datto),Name,RMM,,https://rmm.datto.com/help,
Centurion,centurion,centurion,Centurion,Name,RMM,,,
