slug,name,category,has_pe_metadata,has_installation_paths,has_capabilities,has_supported_os,has_disk,has_eventlog,has_registry,has_network,has_other,has_detections,empty_sections
247ithelp.com_(connectwise),247ithelp.com (ConnectWise),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
absolute_(computrace),Absolute (Computrace),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
access_remote_pc,Access Remote PC,RMM,True,True,False,True,True,True,False,False,False,True,capabilities | registry | network | other
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
action1,Action1,RMM,True,True,True,True,True,True,True,True,False,True,other
addigy,Addigy,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
adobe_connect,Adobe Connect,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
aeroadmin,AeroAdmin,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
aliwangwang-remote-control,AliWangWang-remote-control,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
alpemix,Alpemix,RMM,True,True,True,True,True,True,True,True,False,True,other
ammyyadmin,Ammyy Admin,RMM,True,True,True,True,True,True,True,True,False,True,other
any_support,Any Support,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
anydesk,AnyDesk,RMM,True,True,True,True,True,True,True,True,True,True,
anyplace_control,Anyplace Control,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
anyviewer,AnyViewer,RMM,True,True,True,True,False,True,False,True,False,True,disk | registry | other
apple_remote_desktop,Apple Remote Desktop,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
aspia,Aspia,RMM,True,True,True,True,True,True,False,True,False,True,registry | other
atera,Atera,RMM,True,True,True,True,True,True,True,True,False,True,other
auvik,Auvik,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
aweray,AweRay,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
baramundi,baramundi Management Suite,RMM,True,True,True,True,True,False,False,True,False,True,eventlog | registry | other
barracuda,Barracuda,RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
basecamp,Basecamp,RAT,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
beamyourscreen,BeamYourScreen,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
beanywhere,BeAnyWhere,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
beinsync,BeInSync,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
beyondtrust,BeyondTrust,RMM,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
beyondtrust_(bomgar),BeyondTrust (Bomgar),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
bitvise_ssh_client,Bitvise SSH Client,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
bitvise_ssh_server,Bitvise SSH Server,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
bluetrait,Bluetrait,RAT,True,True,True,True,True,True,False,True,False,True,registry | other
centrastage_(now_datto),CentraStage (Now Datto),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
centurion,Centurion,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
chicken_(of_the_vnc),Chicken (of the VNC),RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
