slug,name,file,file_expanded,os_raw,os_canonical,type,description
access_remote_pc,Access Remote PC,C:\Program Files (x86)\RemotePC\RemotePCUIU.exe,C:\Program Files (x86)\RemotePC\RemotePCUIU.exe,Windows,Windows,,RemotePC service binary
access_remote_pc,Access Remote PC,C:\Program Files (x86)\RemotePC\*,C:\Program Files (x86)\RemotePC\*,Windows,Windows,,Multiple files and binaries related to RemotePC installation
action1,Action1,C:\Windows\Action1\action1_agent.exe,C:\Windows\Action1\action1_agent.exe,Windows,Windows,,Action1 service binary
action1,Action1,C:\Windows\Action1\*,C:\Windows\Action1\*,Windows,Windows,,Multiple files and binaries related to Action1 installation
action1,Action1,C:\Windows\Action1\scripts\*,C:\Windows\Action1\scripts\*,Windows,Windows,,Multiple scripts related to Action1 installation
action1,Action1,C:\Windows\Action1\rule_data\*,C:\Windows\Action1\rule_data\*,Windows,Windows,,Files related to Action1 rules
action1,Action1,C:\Windows\Action1\action1_log_*.log,C:\Windows\Action1\action1_log_*.log,Windows,Windows,,"Contains history, errors, system notifications. Incoming and outgoing connections."
allocentra,Allocentra,*\allocentra\agent\allocentra-agent.exe,*\allocentra\agent\allocentra-agent.exe,Windows,Windows,,Windows agent install destination confirmed in the decompiled service-install routine.
allocentra,Allocentra,*\allocentra-update.bat,*\allocentra-update.bat,Windows,Windows,,"Update-script basename confirmed in decompiled Windows update code; generated under the process temporary directory, whose absolute path varies."
alpemix,Alpemix,%localappdata%\Alpemix\Alpemix.ini,C:\Users\*\AppData\Local\Alpemix\Alpemix.ini,Windows,Windows,,N/A
ammyyadmin,Ammyy Admin,%programdata%\\AMMYY\\access.log,C:\ProgramData\\AMMYY\\access.log,Windows,Windows,,"Ammyy Admin access log file. Contains information about the remote IP address, the time of connection, bytes recv/send, and the ID of the remote machine."
ammyyadmin,Ammyy Admin,%Binary_path%\\AA_v3.log,%Binary_path%\\AA_v3.log,Windows,Windows,,Ammyy Admin log file. Contains application related logs.
anydesk,AnyDesk,%programdata%\AnyDesk\ad_svc.trace,C:\ProgramData\AnyDesk\ad_svc.trace,Windows,Windows,,"AnyDesk service log file. As well as ad.trace, we can determine the IP address of the other participant and its AnyDesk ID when a connection is established."
anydesk,AnyDesk,%programdata%\AnyDesk\connection_trace.txt,C:\ProgramData\AnyDesk\connection_trace.txt,Windows,Windows,,"Incoming connection logs, contains IP Address of the remote machine and file transfer activity. Only generated on target side. The content indicates how the connection was approved (e.g. the local user authorized it, or a password was used)"
anydesk,AnyDesk,%APPDATA%\AnyDesk\connection_trace.txt,C:\Users\*\AppData\Roaming\AnyDesk\connection_trace.txt,Windows,Windows,,"Incoming connection logs, contains IP Address of the remote machine and file transfer activity. Only generated on target side. The content indicates how the connection was approved (e.g. the local user authorized it, or a password was used)"
anydesk,AnyDesk,%APPDATA%\AnyDesk\ad.trace,C:\Users\*\AppData\Roaming\AnyDesk\ad.trace,Windows,Windows,,"AnyDesk user interface log file. In this log file, we can determine the IP address of the other participant and its AnyDesk ID. It is also possible to track events of file transfer. Below is the Client ID and external IP address of the remote participant."
anydesk,AnyDesk,%APPDATA%\AnyDesk\chat\*.txt,C:\Users\*\AppData\Roaming\AnyDesk\chat\*.txt,Windows,Windows,,"If the chat functionality is used, its entries will be printed in a text file in this folder."
anydesk,AnyDesk,%APPDATA%\AnyDesk\user.conf,C:\Users\*\AppData\Roaming\AnyDesk\user.conf,Windows,Windows,,N/A
anydesk,AnyDesk,%PROGRAMDATA%\AnyDesk\service.conf,C:\ProgramData\AnyDesk\service.conf,Windows,Windows,,Password can be set to auto-validate the session. The password will be saved in a salted hash format.
anydesk,AnyDesk,%APPDATA%\AnyDesk\service.conf,C:\Users\*\AppData\Roaming\AnyDesk\service.conf,Windows,Windows,,N/A
anydesk,AnyDesk,%APPDATA%\AnyDesk\system.conf,C:\Users\*\AppData\Roaming\AnyDesk\system.conf,Windows,Windows,,N/A
anydesk,AnyDesk,%PROGRAMDATA%\AnyDesk\system.conf,C:\ProgramData\AnyDesk\system.conf,Windows,Windows,,N/A
anydesk,AnyDesk,%PROGRAMDATA%\Microsoft\Windows\Start Menu\Programs\StartUp\AnyDesk.lnk,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\AnyDesk.lnk,Windows,Windows,,N/A
anydesk,AnyDesk,%PROGRAMDATA%\Microsoft\Windows\Start Menu\Programs\AnyDesk\Uninstall AnyDesk.lnk,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AnyDesk\Uninstall AnyDesk.lnk,Windows,Windows,,N/A
anydesk,AnyDesk,C:\Users\*\Videos\AnyDesk\*.anydesk,C:\Users\*\Videos\AnyDesk\*.anydesk,Windows,Windows,,N/A
anydesk,AnyDesk,C:\Windows\SysWOW64\config\systemprofile\AppData\Roaming\AnyDesk\*,C:\Windows\SysWOW64\config\systemprofile\AppData\Roaming\AnyDesk\*,Windows,Windows,,N/A
anydesk,AnyDesk,~/Library/Application Support/AnyDesk/Logs/,~/Library/Application Support/AnyDesk/Logs/,Mac,MacOS,,N/A
anydesk,AnyDesk,~/.config/AnyDesk/Logs/,~/.config/AnyDesk/Logs/,Linux,Linux,,N/A
aspia,Aspia,C:\Users\*\AppData\Roaming\aspia\client.ini,C:\Users\*\AppData\Roaming\aspia\client.ini,Windows,Windows,,N/A
aspia,Aspia,C:\Users\*\AppData\Local\Temp\aspia\aspia_client-*.log,C:\Users\*\AppData\Local\Temp\aspia\aspia_client-*.log,Windows,Windows,,N/A
aspia,Aspia,C:\Program Files\Aspia\Client\qt.conf,C:\Program Files\Aspia\Client\qt.conf,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageRunCommandInteractive\log.txt,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageRunCommandInteractive\log.txt,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\*,C:\Program Files\ATERA Networks\AteraAgent\Packages\*,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\AteraAgent.exe,C:\Program Files\ATERA Networks\AteraAgent\AteraAgent.exe,Windows,Windows,,Atera service binary
atera,Atera,C:\Program Files\Atera Networks\AlphaAgent.exe,C:\Program Files\Atera Networks\AlphaAgent.exe,Windows,Windows,,Atera service binary
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageSTRemote\AgentPackageSTRemote.exe,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageSTRemote\AgentPackageSTRemote.exe,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageMonitoring\AgentPackageMonitoring.exe,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageMonitoring\AgentPackageMonitoring.exe,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageHeartbeat\AgentPackageHeartbeat.exe,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageHeartbeat\AgentPackageHeartbeat.exe,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageFileExplorer\AgentPackageFileExplorer.exe,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageFileExplorer\AgentPackageFileExplorer.exe,Windows,Windows,,N/A
atera,Atera,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageRunCommandInteractive\AgentPackageRunCommandInteractive.exe,C:\Program Files\ATERA Networks\AteraAgent\Packages\AgentPackageRunCommandInteractive\AgentPackageRunCommandInteractive.exe,Windows,Windows,,N/A
baramundi,baramundi Management Suite,C:\Program Files\bsag\bma\bma.exe,C:\Program Files\bsag\bma\bma.exe,Windows,Windows,,baramundi Management Agent executable. Main service binary for the baramundi Management Suite agent that runs as a Windows service (BARAAGNT). Depends on RpcSs service.
bluetrait,Bluetrait,C:\Program Files (x86)\Bluetrait Agent\Bluetrait MSP Agent.exe,C:\Program Files (x86)\Bluetrait Agent\Bluetrait MSP Agent.exe,Windows,Windows,,Main Bluetrait agent executable file
bluetrait,Bluetrait,C:\Program Files (x86)\Bluetrait Agent\BluetraitUserAgent.exe,C:\Program Files (x86)\Bluetrait Agent\BluetraitUserAgent.exe,Windows,Windows,,Bluetrait User Agent executable file
bluetrait,Bluetrait,C:\Program Files (x86)\Bluetrait Agent\config.db,C:\Program Files (x86)\Bluetrait Agent\config.db,Windows,Windows,,Bluetrait configuration database file
bluetrait,Bluetrait,C:\Program Files (x86)\Bluetrait Agent\config.json,C:\Program Files (x86)\Bluetrait Agent\config.json,Windows,Windows,,Bluetrait JSON configuration file
bluetrait,Bluetrait,C:\Program Files (x86)\Bluetrait Agent\libraries\paexec.exe,C:\Program Files (x86)\Bluetrait Agent\libraries\paexec.exe,Windows,Windows,,PAExec utility used by Bluetrait for remote execution
breezermm,BreezeRMM,PixoIT-agent.exe,PixoIT-agent.exe,Windows,Windows,,"Original filename of the unsigned PixoIT-branded Breeze RMM build, verified in PE resources; not an asserted standard installation path."
breezermm,BreezeRMM,C:\Program Files\Breeze\breeze-agent.exe,C:\Program Files\Breeze\breeze-agent.exe,Windows,Windows,,Breeze RMM agent executable reported in issue 235.
breezermm,BreezeRMM,C:\Program Files\Breeze\breeze-watchdog.exe,C:\Program Files\Breeze\breeze-watchdog.exe,Windows,Windows,,Breeze agent watchdog executable reported in issue 235.
breezermm,BreezeRMM,C:\Program Files\Breeze\breeze-user-helper.exe,C:\Program Files\Breeze\breeze-user-helper.exe,Windows,Windows,,Breeze user-context helper executable reported in issue 235.
breezermm,BreezeRMM,C:\Program Files\Breeze\breeze-backup.exe,C:\Program Files\Breeze\breeze-backup.exe,Windows,Windows,,Breeze agent backup executable reported in issue 235.
breezermm,BreezeRMM,C:\Program Files\Breeze\scripts\install\install-windows.ps1,C:\Program Files\Breeze\scripts\install\install-windows.ps1,Windows,Windows,,Breeze Windows install script reported in issue 235.
breezermm,BreezeRMM,C:\ProgramData\Breeze\agent.env,C:\ProgramData\Breeze\agent.env,Windows,Windows,,Breeze agent environment configuration reported in issue 235.
breezermm,BreezeRMM,C:\ProgramData\Breeze\secrets.yaml,C:\ProgramData\Breeze\secrets.yaml,Windows,Windows,,Breeze agent secrets file reported in issue 235.
breezermm,BreezeRMM,C:\ProgramData\Breeze\logs\agent.log,C:\ProgramData\Breeze\logs\agent.log,Windows,Windows,,Breeze agent log file reported in issue 235.
breezermm,BreezeRMM,/usr/local/bin/breeze-agent,/usr/local/bin/breeze-agent,Linux/macOS,Linux,,Breeze agent binary installed by the official Linux installer and present in the official v0.115.0 macOS package payload.
breezermm,BreezeRMM,/usr/local/bin/breeze-watchdog,/usr/local/bin/breeze-watchdog,Linux/macOS,Linux,,"Breeze watchdog binary installed by the official Linux installer when the matching helper binary is supplied, and present in the official v0.115.0 macOS package payload."
breezermm,BreezeRMM,/usr/local/bin/breeze-backup,/usr/local/bin/breeze-backup,Linux/macOS,Linux,,"Breeze backup helper installed by the official Linux installer when the matching helper binary is supplied, and present in the official v0.115.0 macOS package payload."
breezermm,BreezeRMM,/usr/local/bin/breeze-desktop-helper,/usr/local/bin/breeze-desktop-helper,macOS,MacOS,,Desktop helper present in the official v0.115.0 macOS package payload and referenced by its user-session and LoginWindow LaunchAgents.
breezermm,BreezeRMM,/etc/breeze/agent.yaml,/etc/breeze/agent.yaml,Linux,Linux,,Default Breeze agent configuration path checked by the official Linux installer and referenced by the released Linux agent.
breezermm,BreezeRMM,/var/lib/breeze/*,/var/lib/breeze/*,Linux,Linux,,Breeze agent data directory created by the official Linux installer.
breezermm,BreezeRMM,/var/log/breeze/*,/var/log/breeze/*,Linux,Linux,,Breeze log directory created by the official Linux installer; the released Linux agent references /var/log/breeze/agent.log.
breezermm,BreezeRMM,/var/run/breeze/agent.sock,/var/run/breeze/agent.sock,Linux,Linux,,Breeze agent IPC socket path; the official Linux installer creates /var/run/breeze and the released Linux agent references agent.sock there.
breezermm,BreezeRMM,/etc/systemd/system/breeze-agent.service,/etc/systemd/system/breeze-agent.service,Linux,Linux,,Official Breeze Linux systemd unit. It runs /usr/local/bin/breeze-agent start with /etc/breeze as its working directory and enables boot persistence.
breezermm,BreezeRMM,/usr/lib/systemd/user/breeze-agent-user.service,/usr/lib/systemd/user/breeze-agent-user.service,Linux,Linux,,Official per-user Breeze helper systemd unit installed when supplied with the Linux installer source.
breezermm,BreezeRMM,/etc/xdg/autostart/breeze-agent-user.desktop,/etc/xdg/autostart/breeze-agent-user.desktop,Linux,Linux,,Official Breeze user-helper XDG autostart fallback installed by the Linux installer.
breezermm,BreezeRMM,/usr/lib/tmpfiles.d/breeze-agent.conf,/usr/lib/tmpfiles.d/breeze-agent.conf,Linux,Linux,,Official tmpfiles rule that creates /run/breeze at boot for Breeze agent IPC.
breezermm,BreezeRMM,/Library/Application Support/Breeze/*,/Library/Application Support/Breeze/*,macOS,MacOS,,Breeze macOS configuration and IPC directory created by the v0.115.0 package postinstall script.
breezermm,BreezeRMM,/Library/Logs/Breeze/agent.log,/Library/Logs/Breeze/agent.log,macOS,MacOS,,Standard output log path for the Breeze agent LaunchDaemon in the official v0.115.0 macOS package.
breezermm,BreezeRMM,/Library/Logs/Breeze/agent.err,/Library/Logs/Breeze/agent.err,macOS,MacOS,,Standard error log path for the Breeze agent LaunchDaemon in the official v0.115.0 macOS package.
breezermm,BreezeRMM,/Library/Logs/Breeze/watchdog.log,/Library/Logs/Breeze/watchdog.log,macOS,MacOS,,Standard output log path for the Breeze watchdog LaunchDaemon in the official v0.115.0 macOS package.
breezermm,BreezeRMM,/Library/Logs/Breeze/watchdog.err,/Library/Logs/Breeze/watchdog.err,macOS,MacOS,,Standard error log path for the Breeze watchdog LaunchDaemon in the official v0.115.0 macOS package.
breezermm,BreezeRMM,/Library/LaunchDaemons/com.breeze.agent.plist,/Library/LaunchDaemons/com.breeze.agent.plist,macOS,MacOS,,"Official Breeze macOS LaunchDaemon, label com.breeze.agent, that runs /usr/local/bin/breeze-agent run with RunAtLoad and KeepAlive."
breezermm,BreezeRMM,/Library/LaunchDaemons/com.breeze.watchdog.plist,/Library/LaunchDaemons/com.breeze.watchdog.plist,macOS,MacOS,,"Official Breeze macOS watchdog LaunchDaemon, label com.breeze.watchdog, that runs /usr/local/bin/breeze-watchdog run with RunAtLoad and KeepAlive."
breezermm,BreezeRMM,/Library/LaunchAgents/com.breeze.desktop-helper-user.plist,/Library/LaunchAgents/com.breeze.desktop-helper-user.plist,macOS,MacOS,,"Official Breeze macOS Aqua-session LaunchAgent, label com.breeze.desktop-helper-user, that runs the desktop helper for user sessions."
