slug,name,type,value
anydesk,AnyDesk,User-Agent,AnyDesk/*
anydesk,AnyDesk,NamedPipe,adprinterpipe
controlio,Controlio,Service,weSvcService
dataplicity,Dataplicity,URL,https://www.dataplicity.com/<TOKEN>.py
dataplicity,Dataplicity,Other,Install command: curl -s https://www.dataplicity.com/<TOKEN>.py | sudo python  (high-signal hunt pattern — sudo-piped curl-to-python from dataplicity.com)
dataplicity,Dataplicity,Other,LOTTunnels project — Shell Access category: https://lottunnels.github.io/lottunnels/Binaries/dataplicity/
freshservice,Freshservice,URL,https://fstools.freshservice.com/agent/win-installer-3.10.0.msi
freshservice,Freshservice,URL,https://fstools.freshservice.com/agent/win-installer-3.7.0.msi
freshservice,Freshservice,URL,https://fstools.freshservice.com/fs-windows-agent-3.10.0.msi
freshservice,Freshservice,URL,https://fstools.freshservice.com/fs-windows-agent-3.5.0.msi
freshservice,Freshservice,URL,https://fstools.freshservice.com/fs-probe-4.13.0.msi
freshservice,Freshservice,URL,https://fstools.freshservice.com/fs-probe-4.4.0-betfairhelpdesk.msi
freshservice,Freshservice,SHA256,773f976170f87167d63d55bf83c5f3853d3f10f01dd627ab3dfe0f02b6f25d48
freshservice,Freshservice,SHA256,20ca682b3485bc5e9b407749fbc42c7b4148c3d6f00c17eab52e9a85bcc1e299
freshservice,Freshservice,SHA256,ae7da71392831894071da4464588713db5fb3babdf5f1d0d88ae7927d3c19179
freshservice,Freshservice,SHA256,16bdb59cb9772a6b8d430d7bc4811c89548aa68aeb833b41f49ce58efcaad48a
freshservice,Freshservice,CodeSigningSubject,CN=Freshworks Inc
freshservice,Freshservice,CodeSigningIssuer,DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1
freshservice,Freshservice,ProductCode,{8BE075F9-36C7-4145-8BC0-35D420223576} (Freshservice Discovery Agent 3.10.0; UpgradeCode {6B686B63-A11D-42DE-9678-01FE705125C7}; per-version ProductCode — do not pin)
freshservice,Freshservice,ProductCode,{892D2C60-AFC1-48C0-8C5D-A2DC856A3605} (FreshService Probe 4.13.0; UpgradeCode {82E36A19-1271-4411-ACEC-7BBE4B6BD17A}; per-version ProductCode — do not pin)
getscreen,GetScreen,ServiceName,Getscreen.me
getscreen,GetScreen,ServiceName,GetscreenSV
getscreen,GetScreen,NamedPipe,PCommand*GetScreen.meout
getscreen,GetScreen,NamedPipe,\\.\pipe\elevateGS512*
getscreen,GetScreen,NamedPipe,\\.\pipe\PCommand*Getscreen.me*
getscreen,GetScreen,CommandLine,getscreen.exe -install -register 87c34ca23sss391@tutamail.com
