slug,name,url,description
247ithelp.com_(connectwise),247ithelp.com (ConnectWise),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/247ithelp.com__connectwise__network_sigma.yml,Detects potential network activity of 247ithelp.com (ConnectWise) RMM tool
247ithelp.com_(connectwise),247ithelp.com (ConnectWise),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/247ithelp.com__connectwise__processes_sigma.yml,Detects potential processes activity of 247ithelp.com (ConnectWise) RMM tool
absolute_(computrace),Absolute (Computrace),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/absolute__computrace__network_sigma.yml,Detects potential network activity of Absolute (Computrace) RMM tool
absolute_(computrace),Absolute (Computrace),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/absolute__computrace__processes_sigma.yml,Detects potential processes activity of Absolute (Computrace) RMM tool
access_remote_pc,Access Remote PC,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/access_remote_pc_files_sigma.yml,Detects potential files activity of Access Remote PC RMM tool
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/acronis_cyber_protect__remotix__network_sigma.yml,Detects potential network activity of Acronis Cyber Protect (Remotix) RMM tool
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/acronis_cyber_protect__remotix__processes_sigma.yml,Detects potential processes activity of Acronis Cyber Protect (Remotix) RMM tool
action1,Action1,https://github.com/tsale/Sigma_rules/blob/ea87e4fc851207ca0f002ec043624f2b3bf1b2da/Threat%20Hunting%20Queries/Action1_RMM.yml,Threat hunting rule for detecting the execution of arbitrary code and remote sessions via Action1 RMM
action1,Action1,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/action1_registry_sigma.yml,Detects potential registry activity of Action1 RMM tool
action1,Action1,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/action1_network_sigma.yml,Detects potential network activity of Action1 RMM tool
action1,Action1,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/action1_files_sigma.yml,Detects potential files activity of Action1 RMM tool
addigy,Addigy,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/addigy_network_sigma.yml,Detects potential network activity of Addigy RMM tool
adobe_connect,Adobe Connect,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/adobe_connect_network_sigma.yml,Detects potential network activity of Adobe Connect RMM tool
adobe_connect,Adobe Connect,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/adobe_connect_processes_sigma.yml,Detects potential processes activity of Adobe Connect RMM tool
aeroadmin,AeroAdmin,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aeroadmin_network_sigma.yml,Detects potential network activity of AeroAdmin RMM tool
aeroadmin,AeroAdmin,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aeroadmin_processes_sigma.yml,Detects potential processes activity of AeroAdmin RMM tool
aliwangwang-remote-control,AliWangWang-remote-control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aliwangwang-remote-control_network_sigma.yml,Detects potential network activity of AliWangWang-remote-control RMM tool
aliwangwang-remote-control,AliWangWang-remote-control,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/aliwangwang-remote-control_processes_sigma.yml,Detects potential processes activity of AliWangWang-remote-control RMM tool
alpemix,Alpemix,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/alpemix_registry_sigma.yml,Detects potential registry activity of Alpemix RMM tool
alpemix,Alpemix,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/alpemix_network_sigma.yml,Detects potential network activity of Alpemix RMM tool
alpemix,Alpemix,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/alpemix_files_sigma.yml,Detects potential files activity of Alpemix RMM tool
alpemix,Alpemix,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/alpemix_processes_sigma.yml,Detects potential processes activity of Alpemix RMM tool
ammyyadmin,Ammyy Admin,https://github.com/tsale/Sigma_rules/blob/main/Threat%20Hunting%20Queries/ammyy_admin.yml,Detects the execution of the Ammy Admin RMM agent for remote management.
ammyyadmin,Ammyy Admin,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ammyy_admin_registry_sigma.yml,Detects potential registry activity of Ammyy Admin RMM tool
ammyyadmin,Ammyy Admin,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ammyy_admin_network_sigma.yml,Detects potential network activity of Ammyy Admin RMM tool
ammyyadmin,Ammyy Admin,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ammyy_admin_files_sigma.yml,Detects potential files activity of Ammyy Admin RMM tool
